Gene	Putative_identity	Putative_identity_INDEX	Ortholog	Support	Homolog	Cu_function	Cu relevance	INDEL corrected?
augustus_masked-Sm_000003F-processed-gene-1.63-mRNA-1	cue5_4_homolog	Cue5-4_homolog_C3		Nucleotide, aa	cue5_DQ115009 and cue4_DQ115008	Toxic Cu stress	High, modest transcriptional increase under toxic Cu stress	0
maker-Sm_000003F-snap-gene-2.76-mRNA-1	cue5_4_homolog	Cue5-4_homolog_C3		Nucleotide, aa	cue5_DQ115009 and cue4_DQ115008	Toxic Cu stress	High, modest transcriptional increase under toxic Cu stress	0
augustus_masked-Sm_000037F-processed-gene-5.2-mRNA-1	cue5_4_homolog	Cue5-4_homolog_C37		Nucleotide, aa	cue5_DQ115009 and cue4_DQ115008	Toxic Cu stress	High, modest transcriptional increase under toxic Cu stress	0
snap_masked-Sm_000037F-processed-gene-5.87-mRNA-1	cue5_4_homolog	Cue5-4_homolog_C37		Nucleotide, aa	cue5_DQ115009 and cue4_DQ115008	Toxic Cu stress	High, modest transcriptional increase under toxic Cu stress	0
augustus_masked-Sm_000091F-processed-gene-0.10-mRNA-1	cue5_4_homolog	Cue5-4_homolog_C91		Nucleotide, aa	cue5_DQ115009 and cue4_DQ115008	Toxic Cu stress	High, modest transcriptional increase under toxic Cu stress	0
augustus_masked-Sm_000091F-processed-gene-0.19-mRNA-1	cue5_4_homolog	Cue5-4_homolog_C91		Nucleotide, aa	cue5_DQ115009 and cue4_DQ115008	Toxic Cu stress	High, modest transcriptional increase under toxic Cu stress	0
augustus_masked-Sm_000091F-processed-gene-0.9-mRNA-1	cue5_4_homolog	Cue5-4_homolog_C91		Nucleotide, aa	cue5_DQ115009 and cue4_DQ115008	Toxic Cu stress	High, modest transcriptional increase under toxic Cu stress	0
genemark-Sm_000091F-processed-gene-0.100-mRNA-1	cue5_4_homolog	Cue5-4_homolog_C91		Nucleotide, aa	cue5_DQ115009 and cue4_DQ115008	Toxic Cu stress	High, modest transcriptional increase under toxic Cu stress	0
genemark-Sm_000091F-processed-gene-0.98-mRNA-1	cue5_4_homolog	Cue5-4_homolog_C91		Nucleotide, aa	cue5_DQ115009 and cue4_DQ115008	Toxic Cu stress	High, modest transcriptional increase under toxic Cu stress	0
Sm_t00013427-RA	Cytochrome c oxidase subunit 6B	Cytochrome c oxidase subunit 6B_C24	c24742_g1_i1	Nucleotide, aa, and functional domains	c24742_g1_i1	Cu containing	Somewhat interesting	0
Sm_mito_g00002	Cytochrome c oxidase subunit I	Cytochrome c oxidase subunit I_mito	NA	Nucleotide, aa, and functional domains	c22140_g1_i1: c24146_g1_i1	Cu containing	Somewhat interesting	
Sm_t00012684-RA	Cytochrome c6 isoform A	Cytochrome c6 isoform A_C29	NA	Nucleotide, aa, and functional domains	c4889_g1_i1, c15883_g1_i1	Cu containing	Somewhat interesting	0
Sm_t00009095-RA	Cytochrome c6 isoform B	Cytochrome c6 isoform B_C18	NA	 aa, and functional domains	c4889_g1_i1, c15883_g1_i1		Somewhat interesting	0
Sm_t00005368-RA	Fe permease	Fe permease_C7	Thaps3_268009	Nucleotide, aa, and functional domains	Thaps3_TpFTR1 |268009	Copper transport system	Somewhat interesting	1
Sm_t00012258-RA	Fe transporter	Fe transporter_C30	Thaps3_9840	Nucleotide, aa, and functional domains	Thaps3_TpNRAMP |9840	Copper transport system	Somewhat interesting	5
Sm_t00010479-RA	ferric reductases	ferric reductases_C17	Thaps3_11375	Nucleotide, aa, and functional domains	Thaps3_TpFRE1 |11375	Copper transport system	Very high, manual annotation based on homology by Gau et al 2015	0
Sm_t00018630-RA	ferric reductases	ferric reductases_C63		aa, and functional domains	c8379_g1_FRE3 and c18165_g1_i2_FRE2		Very high, manual annotation based on homology by Gau et al 2015	0
Sm_t00019220-RA	ferric reductases	ferric reductases_C67	Thaps3_261641	Nucleotide, aa, and functional domains	Thaps3_TpFRE2 |261641	Copper transport system	Very high, manual annotation based on homology by Gau et al 2015	1
Sm_t00009273-RA	Girdel-band-assosciated cell surface protein	Girdel-band-assosciated cell surface protein_C18	Thaps3_26041	Nucleotide, aa, and functional domains	Thaps3_p150 |26041	Toxic Cu stress	Very high, increased protein concentration under toxic Cu stress	0
genemark-Sm_000029F-abinit-gene-7.104-mRNA-1	glutamate-cysteine ligase	glutamate-cysteine ligase_C29	Thaps3_13064	Nucleotide, aa, and functional domains	Thaps3_13064	Phytochelatin synthesis	High, chelator of heavy-metals but primarily not Cu based on previous studies	2
Sm_t00011279-RA	glutathione synthetase-partial	glutathione synthetase_C20		Nucleotide, aa, and functional domains	Thaps3_29212	Phytochelatin synthesis	High, chelator of heavy-metals but primarily not Cu based on previous studies	0
Sm_t00011280-RA	glutathione synthetase	glutathione synthetase_C20		Nucleotide, aa, and functional domains	Thaps3_29212	Phytochelatin synthesis	High, chelator of heavy-metals but primarily not Cu based on previous studies	0
Sm_t00011281-RA	glutathione synthetase	glutathione synthetase_C20		Nucleotide, aa, and functional domains	Thaps3_29212	Phytochelatin synthesis	High, chelator of heavy-metals but primarily not Cu based on previous studies	0
Sm_t00007131-RA	high-affinity Cu transporter	high-affinity Cu transporter_C10	Thaps3_24275	Nucleotide, aa	Thaps3_TpCTRÊ|24275	Cu transport	Very high, manual annotation based on homology by Gau et al 2015	20
Sm_t00004508-RA	high-affinity Cu transporter	high-affinity Cu transporter_C2	Thaps3_9391	Nucleotide, aa, and functional domains	Thaps3_TpCTRÊ|9391	Cu transport	Very high, manual annotation based on homology by Gau et al 2015	0
Sm_t00014412-RA	L-ascorbate oxidase	L-ascorbate oxidase_C32		functional domains	In silico prediction	Cu containing	High, potential for Cu anf heavy-metals transport	0
Sm_t00007798-RA	Metal cheleator	Metal cheleator_Cue10_C14		very short aa	cue10	Cu binding	Very high, transcriptional increase under toxic Cu stress	0
Sm_t00003559-RA	Metal cheleator (Cue10)	Metal cheleator_Cue10_C4	cue10?	short aa	cue10	Cu binding	Very high, transcriptional increase under toxic Cu stress	0
Sm_t00000203-RA	Metal cheleator (Cue1_2_6_7)	Metal cheleator_Cue6-7_C0	cue6 and 7	very short aa motif	cue1,2,6 and 7	Cu binding	Very high, transcriptional increase under toxic Cu stress and inside inverted repeat structure 	
Sm_t00000203-RAa	Metal cheleator (Cue1_2_6_7)	Metal cheleator_Cue6-7_C0	cue6 and 7	very short aa motif	cue1,2,6 and 7	Cu binding		0
Sm_t00000203-RAaa	Metal cheleator (Cue1_2_6_7)	Metal cheleator_Cue6-7_C0	cue6 and 7	very short aa motif	cue1,2,6 and 7	Cu binding		0
Sm_t00000203-Raac	Metal cheleator (Cue1_2_6_7)	Metal cheleator_Cue6-7_C0	cue6 and 7	very short aa motif	cue1,2,6 and 7	Cu binding		0
Sm_t00007834-RA	Metal cheleator	Metal cheleator_Cue6-7_C14	cue6 and 7	very short aa motif	cue1,2,6 and 7	Cu binding	Very high, transcriptional increase under toxic Cu stress and inside inverted repeat structure 	0
Sm_t00007866-RAa	Metal cheleator	Metal cheleator_Cue6-7_C14	cue6 and 7	very short aa motif	cue1,2,6 and 7	Cu binding		0
augustus_masked-Sm_000000F-processed-gene-19.38-mRNA-1	metallopeptidase activity	metallopeptidase activity_C0		aa, and some functional domains	Thaps3_23419	Cu binding	Somewhat interesting	0
Sm_t00001545-RA	metallopeptidase activity	metallopeptidase activity_C1	Thaps3_23419	Nucleotide, aa, and all functional domains	Thaps3_23419	Cu binding	Somewhat interesting	1
Sm_t00005265-RA	metallopeptidase activity	metallopeptidase activity_C7		aa, and some functional domains	Thaps3_23419	Cu binding	Somewhat interesting	0
Sm_t00000271-RA	Metallothionein-like protein	Metallothionein-like protein_C0		aa, and functional domains	BLASTp of census domain CKCKNTFCLKKYCECYSAGILCGDKCKCVDCKNY	Cu binding	Very high, linked to Cu tolerance in Yeast	0
Sm_t00000816-RA	Metallothionein-like protein	Metallothionein-like protein_C0			Many with Tesmin/TSO1-like CXC domain	Cu binding	Very high, linked to Cu tolerance in Yeast	6
Sm_t00007046-RA	Metallothionein-like protein	Metallothionein-like protein_C10	Thaps3_10173		Many with Tesmin/TSO1-like CXC domain	Cu binding	Very high, linked to Cu tolerance in Yeast	1
Sm_t00006068-RA	Metallothionein-like protein	Metallothionein-like protein_C11	Thaps3_8269		Many with Tesmin/TSO1-like CXC domain	Cu binding	Very high, linked to Cu tolerance in Yeast	0
Sm_t00011072-RA	Metallothionein-like protein	Metallothionein-like protein_C19	Thaps3_264396	Nucleotide, aa, and functional domains	Many with Tesmin/TSO1-like CXC domain	Cu binding	Very high, linked to Cu tolerance in Yeast	1
TRINITY_DN7103_c0_g2_i1	Metallothionein-like protein	Metallothionein-like protein_C25	Thaps3_20954	aa, and functional domains	Many with Tesmin/TSO1-like CXC domain	Cu binding	Very high, linked to Cu tolerance in Yeast	6
maker-Sm_000030F-snap-gene-1.6-mRNA-1	Metallothionein-like protein	Metallothionein-like protein_C30			Many with Tesmin/TSO1-like CXC domain	Cu binding	Very high, linked to Cu tolerance in Yeast	0
genemark-Sm_000054F-processed-gene-0.5-mRNA-1	Metallothionein-like protein	Metallothionein-like protein_C54	Thaps3_4470?	aa, and functional domains	Many with Tesmin/TSO1-like CXC domain	Cu binding	Very high, linked to Cu tolerance in Yeast	0
Sm_t00004754-RA	Metallothionein-like protein	Metallothionein-like protein_C6	c12047_g1_i1 and Thaps3_2335?	Nucleotide, broader aa, and CxC domains	Many with Tesmin/TSO1-like CXC domain	Cu binding	Very high, linked to Cu tolerance in Yeast	11
Sm_t00007019-RA	Multicopper oxidase (FET3)	Multicopper oxidase (FET3)_C10		Nucleotide, aa, and functional domains	Thaps3_TpFET3 |5574	Cu containing and Cu binding and Cu transport	High, chelator of heavy-metals but primarily not Cu based on previous studies	0
Sm_t00014438-RA	Multicopper oxidase (L-ascorbate oxidase)	Multicopper oxidase (L-ascorbate oxidase)_C32		aa, and some functional domains	Thaps3_TpFET3 |5574	Cu containing	Somewhat interesting	3
Sm_t00013038-RA	Multicopper oxidase (Laccase)	Multicopper oxidase (Laccase)_C38		aa, and functional domains	Thaps3_TpFET3 |5574	Cu containing	Somewhat interesting	0
TRINITY_DN3625_c1_g2_i1	Multicopper oxidase-like (SufI super family)	Multicopper oxidase-like (SufI)_C1		functional domains	In silico prediction	Cu containing and possible binding	Somewhat interesting	0
Sm_t00014831-RA	Multicopper oxidase-like (SufI super family)	Multicopper oxidase-like (SufI)_C37		aa, and some functional domains	c13415_g1_i1	Cu containing and possible binding	Somewhat interesting	0
Sm_t00005717-RA	Multicopper oxidase-like (SufI)	Multicopper oxidase-like (SufI)_C7		aa, and some functional domains	c13415_g1_i1	Cu containing and possible binding	Somewhat interesting	0
Sm_t00007701-RA	Multicopper oxidase-like (SufI super family)	Multicopper oxidase-like (SufI)_C8		aa, and some functional domains	c13415_g1_i1	Cu containing and possible binding	Somewhat interesting	0
Sm_t00009617-RA	Multimetal transporter (FieF)	Multimetal transporter (FieF)_C12		functional domains	In silico prediction	Cation transport	High, potential for Cu anf heavy-metals transport	0
Sm_t00000096-RA	Multimetal transporter (ZIP)	Multimetal transporter (ZIP)_C0	TpZIPÊ|268980	Nucleotide, aa, and functional domains	TpZIPÊ|268980	Cu transport	High, potential for Cu anf heavy-metals transport	0
Sm_t00001624-RA	Multimetal transporter (ZIP)	Multimetal transporter (ZIP)_C1		functional domains	In silico prediction	Cu transport	High, potential for Cu anf heavy-metals transport	0
Sm_t00001766-RA	Multimetal transporter (ZIP)	Multimetal transporter (ZIP)_C1		functional domains	In silico prediction	Cu transport	High, potential for Cu anf heavy-metals transport	0
Sm_t00018447-RA	Multimetal transporter (ZIP)	Multimetal transporter (ZIP)_C111	TpZIPÊ|32375	Nucleotide, aa, and functional domains	TpZIPÊ|32375	Cu transport	High, potential for Cu anf heavy-metals transport	0
Sm_t00012102-RA	Multimetal transporter (ZIP)	Multimetal transporter (ZIP)_C21	TpZIPÊ|263800	Nucleotide, aa, and functional domains	TpZIPÊ|263800	Cu transport	High, potential for Cu anf heavy-metals transport	0
Sm_t00010759-RA	Multimetal transporter (ZIP)	Multimetal transporter (ZIP)_C28	TpZIPÊ|22351	Nucleotide, aa, and functional domains	TpZIPÊ|22351	Cu transport	High, potential for Cu anf heavy-metals transport	0
Sm_t00004040-RA	Multimetal transporter (ZIP)	Multimetal transporter (ZIP)_C4		partial functional domains	In silico prediction	Cu transport	High, potential for Cu anf heavy-metals transport	1
Sm_t00016646-RA	Multimetal transporter (ZIP)	Multimetal transporter (ZIP)_C41		functional domains	In silico prediction	Cu transport	High, potential for Cu anf heavy-metals transport	0
Sm_t00002559-RA	Multimetal transporter (ZIP)	Multimetal transporter (ZIP)_C5		functional domains	In silico prediction	Cu transport	High, potential for Cu anf heavy-metals transport	0
Sm_t00002700-RA	Multimetal transporter (ZIP)	Multimetal transporter (ZIP)_C5		functional domains	In silico prediction	Cu transport	High, potential for Cu anf heavy-metals transport	0
Sm_t00017696-RA	Multimetal transporter (ZIP)	Multimetal transporter (ZIP)_C61		functional domains	In silico prediction	Cu transport	High, potential for Cu anf heavy-metals transport	0
Sm_t00004185-RA	NADH dehydrogenase	NADH dehydrogenase_C2	c4679_g1_i1	Nucleotide, aa, and functional domains	c4679_g1_i1	Cu containing	Somewhat interesting	0
genemark-Sm_000011F-processed-gene-7.63-mRNA-1	Acyl carrier protein/NADH-ubiquinone oxidoreductase, NDUFAB1/SDAP subunit	NADH-ubiquinone oxidoreductase_C11	Thaps3_262796	Nucleotide, aa, and functional domains	Thaps3_262796	GOterm Copper	Very littel if any	0
Sm_t00011531-RA	NADH:ubiquinone oxidoreductase	NADH:ubiquinone oxidoreductase_C20	c4919_g1_i1	Nucleotide, aa, and functional domains	c4919_g1_i1	Cu containing	Somewhat interesting	0
Sm_t00009882-RA	Non-ribosomal peptide synthetase/alpha-aminoadipate reductase and related enzymes	Non-ribosomal peptide synthetase_C13		Nucleotide, aa, and functional domains	Thaps3_11612	GOterm Copper	Somewhat interesting	0
Sm_t00014838-RA	pathogenesis-related-1 homolog (N. tabacum)	pathogenesis-related-1 homolog_C37		aa, and functional domains	cue15_DQ115014	Toxic Cu stress	Somewhat interesting, modestly transcriptionaly upregulated during Cu stress	0
Sm_t00003600-RA	pathogenesis-related-1 homolog (N. tabacum)	pathogenesis-related-1 homolog_C4		aa, and functional domains	cue15_DQ115014	Toxic Cu stress	Somewhat interesting, modestly transcriptionaly upregulated during Cu stress	0
Sm_t00003600-RAa	pathogenesis-related-1 homolog (N. tabacum)	pathogenesis-related-1 homolog_C4		aa, and functional domains	cue15_DQ115014	Toxic Cu stress	Somewhat interesting, modestly transcriptionaly upregulated during Cu stress	0
Sm_t00005069-RA	pathogenesis-related-1 homolog (N. tabacum)	pathogenesis-related-1 homolog_C6		aa, and functional domains	cue15_DQ115014	Toxic Cu stress	Somewhat interesting, modestly transcriptionaly upregulated during Cu stress	6
Sm_t00018460-RA	Phytochelatin synthase	Phytochelatin synthase_C111	Thaps3_261250	Nucleotide, aa, and functional domains	Thaps3_34418, Thaps3_261250	Metal cheleation	High, chelator of heavy-metals but primarily not Cu based on previous studies	0
Sm_t00004732-RA	Phytochelatin synthase	Phytochelatin synthase_C6	Thaps3_261250	Nucleotide, aa, and functional domains	Thaps3_34418, Thaps3_261250	Metal cheleation	High, chelator of heavy-metals but primarily not Cu based on previous studies	0
Sm_t00007630-RA	Phytochelatin synthase	Phytochelatin synthase_C8	Thaps3_34418	Nucleotide, aa, and functional domains	Thaps3_34418, Thaps3_261250	Metal cheleation	High, chelator of heavy-metals but primarily not Cu based on previous studies	0
snap_masked-Sm_000001F-processed-gene-6.55-mRNA-1	Phytochelatin synthase-like	Phytochelatin synthase-like_C1	Thaps3_263132	Nucleotide, aa, and some functional domains	Thaps3_263132 and also Nostoc PCC7120 		High, chelator of heavy-metals but primarily not Cu based on previous studies	5
maker-Sm_000000F-augustus-gene-20.115-mRNA-1	Ribonucleotide reductase, alpha subuni	Ribonucleotide reductase, alpha subuni_C0		Nucleotide, aa, and functional domains	Thaps3_268807	GOterm Copper	Somewhat interesting	0
Sm_t00009272-RA	Unknown	Unknown_cue14_C18		Nucleotide, aa	cue14_DQ115015	Toxic Cu stress	High, modest transcriptional increase under toxic Cu stress	0
