	Gene	Mean	N	sd	High	Low	Gene2
42	Sm_t00004508-RA	1.022144671	56	0.112314257	1.052161918	0.992127423	Sm_t00004508-RA
43	Sm_t00004732-RA	0.469222891	56	0.094624251	0.494512286	0.443933496	Sm_t00004732-RA
44	Sm_t00004754-RA	1.057471667	56	0.070611493	1.076343382	1.038599951	Sm_t00004754-RA
45	Sm_t00005069-RA	1.000438442	56	0.089700066	1.024411793	0.976465091	Sm_t00005069-RA
46	Sm_t00005265-RA	1.261584145	56	0.095262177	1.287044032	1.236124257	Sm_t00005265-RA
47	Sm_t00005368-RA	0.982823254	56	0.113219701	1.013082492	0.952564016	Sm_t00005368-RA
48	Sm_t00005717-RA	2.984144949	56	0.780444751	3.192727582	2.775562315	Sm_t00005717-RA
49	Sm_t00006068-RA	1.042733326	56	0.115145261	1.073507192	1.011959461	Sm_t00006068-RA
50	Sm_t00007019-RA	1.01816837	56	0.110574535	1.047720657	0.988616082	Sm_t00007019-RA
51	Sm_t00007046-RA	0.994332504	56	0.112802849	1.024480334	0.964184675	Sm_t00007046-RA
52	Sm_t00007131-RA	1.07785271	56	0.09654725	1.103656048	1.052049372	Sm_t00007131-RA
53	Sm_t00007630-RA	1.059631383	56	0.101641479	1.08679621	1.032466555	Sm_t00007630-RA
54	Sm_t00007701-RA	0.972629147	56	0.143611892	1.011011039	0.934247254	Sm_t00007701-RA
55	Sm_t00007798-RA	1.151596239	56	0.104003534	1.179392353	1.123800125	Sm_t00007798-RA
56	Sm_t00007834-RA	0.97124709	56	0.266708436	1.042527917	0.899966262	Sm_t00007834-R
57	Sm_t00007866-RAa	1.040984606	56	0.227795976	1.101865641	0.98010357	Sm_t00007866-Raa
58	Sm_t00008820-RA	1.343087486	56	0.428999624	1.457742459	1.228432514	Sm_t00008820-RA
59	Sm_t00008887-RA	1.170254885	56	0.112481218	1.200316755	1.140193015	Sm_t00008887-RA
60	Sm_t00009095-RA	0.988851492	56	0.205561081	1.043790002	0.933912983	Sm_t00009095-RA
61	Sm_t00009272-RA	1.034238655	56	0.165228899	1.078397936	0.990079374	Sm_t00009272-RA
62	Sm_t00009273-RA	1.075767936	56	0.076807713	1.096295661	1.055240211	Sm_t00009273-RA
63	Sm_t00009617-RA	0.939930877	56	0.095106481	0.965349153	0.914512601	Sm_t00009617-RA
64	Sm_t00009882-RA	1.127466927	56	0.075632662	1.147680606	1.107253248	Sm_t00009882-RA
65	Sm_t00010479-RA	1.020111282	56	0.130338095	1.054945603	0.985276961	Sm_t00010479-RA
66	Sm_t00010759-RA	0.967478491	56	0.096166839	0.99318016	0.941776823	Sm_t00010759-RA
67	Sm_t00011072-RA	1.003443814	56	0.079256355	1.024625965	0.982261662	Sm_t00011072-RA
68	Sm_t00011279-RA	0.508988838	56	0.086513325	0.532110497	0.485867179	Sm_t00011279-RA
69	Sm_t00011280-RA	0.482056231	56	0.140280051	0.519547652	0.444564811	Sm_t00011280-RA
70	Sm_t00011281-RA	0.492003379	56	0.087774208	0.515462023	0.468544735	Sm_t00011281-RA
71	Sm_t00011290-RA	1.056418982	56	0.081050638	1.078080676	1.034757288	Sm_t00011290-RA
72	Sm_t00011531-RA	1.076841984	56	0.170664098	1.122453883	1.031230085	Sm_t00011531-RA
73	Sm_t00012102-RA	0.919533796	56	0.112336918	0.949557101	0.889510492	Sm_t00012102-RA
74	Sm_t00012258-RA	1.052757004	56	0.097582909	1.078837134	1.026676875	Sm_t00012258-RA
75	Sm_t00012279-RA	0.402503452	56	0.159259219	0.445067269	0.359939636	Sm_t00012279-RA
76	Sm_t00012684-RA	1.912061958	56	0.317441809	1.99690185	1.827222066	Sm_t00012684-RA
77	Sm_t00013038-RA	1.044904146	56	0.075011667	1.064951857	1.024856435	Sm_t00013038-RA
78	Sm_t00013427-RA	0.865243013	56	0.108049943	0.894120575	0.836365451	Sm_t00013427-RA
79	Sm_t00013510-RA	0.809682145	56	0.094072684	0.834824127	0.784540162	Sm_t00013510-RA
80	Sm_t00014412-RA	1.309186835	56	0.2259128	1.36956457	1.248809099	Sm_t00014412-RA
81	Sm_t00014438-RA	0.632963121	56	0.172755532	0.679133979	0.586792263	Sm_t00014438-RA
82	Sm_t00014498-RA	0.589633159	56	0.239229974	0.653570059	0.525696259	Sm_t00014498-RA
83	Sm_t00014831-RA	1.322768752	56	0.347552148	1.41565597	1.229881533	Sm_t00014831-RA
84	Sm_t00014838-RA	1.041157233	56	0.144235043	1.079705669	1.002608796	Sm_t00014838-RA
85	Sm_t00016646-RA	1.068078764	56	0.277883275	1.142346194	0.993811335	Sm_t00016646-RA
86	Sm_t00017696-RA	0.993110765	56	0.113624815	1.023478275	0.962743256	Sm_t00017696-RA
87	Sm_t00018447-RA	0.998766974	56	0.160708361	1.04171809	0.955815858	Sm_t00018447-RA
88	Sm_t00018460-RA	0.549454713	56	0.080661005	0.571012274	0.527897153	Sm_t00018460-RA
89	Sm_t00018630-RA	2.218076284	56	0.308777365	2.300600506	2.135552062	Sm_t00018630-RA
90	Sm_t00019220-RA	1.083043671	56	0.080864355	1.104655579	1.061431763	Sm_t00019220-RA
91	snap_masked-Sm_000001F-processed-gene-6.55-mRNA-1	1.066472759	56	0.124233819	1.099675644	1.033269874	snap_masked-Sm_000001F-processed-gene-6.55-mRNA-1
92	snap_masked-Sm_000037F-processed-gene-5.87-mRNA-1	1.71719891	56	0.607084281	1.879449009	1.554948811	snap_masked-Sm_000037F-processed-gene-5.87-mRNA-1
93	snap_masked-Sm_000102F-processed-gene-0.175-mRNA-1a	0.496152827	56	0.206601711	0.551369456	0.440936197	snap_masked-Sm_000102F-processed-gene-0.175-mRNA-1a
94	TRINITY_DN3598_c0_g2_i2	0.970789025	56	0.095884764	0.996415306	0.945162744	TRINITY_DN3598_c0_g2_i2
95	TRINITY_DN3625_c1_g2_i1	1.005653695	56	0.117802206	1.037137659	0.974169732	TRINITY_DN3625_c1_g2_i1
96	TRINITY_DN7103_c0_g2_i1	1.039771819	56	0.06386343	1.056840038	1.022703599	TRINITY_DN7103_c0_g2_i1
